Fz,FCz,Cz,FC3,FC4,C3,C4,CP3,CP4,subject,condition
5.5255121262135924,5.716787145631068,5.45341159223301,5.376451941747573,4.580004951456311,6.53972172815534,4.531621281553398,5.3787958446601944,5.0915109514563115,1.0,1.0
5.643300126213592,5.827606145631068,5.757007592233009,5.617703941747573,4.813346951456311,6.719605728155341,4.800580281553398,5.5226608446601935,5.367088951456311,1.0,1.0
5.709391126213592,5.923204145631068,5.93234259223301,5.816188941747573,4.970776951456311,7.005828728155341,5.042589281553399,5.616275844660193,5.588319951456311,1.0,1.0
5.695078126213592,5.958383145631068,5.835388592233009,5.801920941747572,4.9840289514563105,6.920300728155341,5.095460281553398,5.524880844660194,5.577590951456312,1.0,1.0
5.563389126213592,5.907821145631068,5.796684592233009,5.734443941747572,4.954467951456311,6.70612072815534,5.146883281553398,5.435372844660194,5.601907951456311,1.0,1.0
5.595731126213592,5.971974145631068,5.971467592233009,5.706522941747572,4.962641951456311,6.74508772815534,5.247625281553399,5.511854844660194,5.7553669514563115,1.0,1.0
5.524238126213592,5.859107145631068,5.91213759223301,5.475599941747573,4.7611549514563105,6.539824728155341,5.126606281553398,5.436011844660194,5.653623951456312,1.0,1.0
5.029044126213592,5.367056145631068,5.37224059223301,5.0574819417475725,4.237970951456311,6.0079427281553395,4.5565532815533984,4.902084844660195,5.136789951456311,1.0,1.0
4.797335126213592,5.2181491456310685,5.298247592233009,4.818583941747573,4.14513195145631,5.741635728155339,4.392590281553399,4.599600844660195,4.989947951456311,1.0,1.0
4.937741126213592,5.415013145631068,5.54012859223301,4.872821941747573,4.2880079514563105,5.68786572815534,4.500157281553398,4.655851844660194,5.0359749514563115,1.0,1.0
5.002093126213592,5.4196161456310685,5.46837759223301,4.938204941747573,4.23999395145631,5.71031472815534,4.417560281553398,4.692813844660194,4.927499951456311,1.0,1.0
5.017364126213592,5.3999431456310685,5.61353859223301,4.999009941747572,4.17721495145631,6.00909672815534,4.5331512815533985,4.817424844660194,5.090326951456311,1.0,1.0
5.161814126213592,5.547223145631068,5.87721759223301,5.069105941747573,4.3281029514563105,6.122222728155339,4.759811281553398,4.9249528446601945,5.2363299514563115,1.0,1.0
5.580656126213592,5.997348145631069,6.224429592233009,5.349538941747572,4.848561951456311,6.395158728155341,5.091310281553398,5.237743844660194,5.505964951456312,1.0,1.0
5.951404126213592,6.374318145631069,6.51554059223301,5.643298941747573,5.292946951456311,6.81267772815534,5.498558281553398,5.453403844660194,5.946301951456311,1.0,1.0
6.242630126213592,6.7116741456310685,6.80842159223301,5.945568941747573,5.636625951456311,7.10760572815534,5.840422281553398,5.592020844660194,6.278707951456311,1.0,1.0
6.621128126213591,7.098809145631068,7.19271459223301,6.272951941747573,6.0838659514563105,7.458401728155341,6.112464281553398,5.777874844660193,6.475180951456312,1.0,1.0
6.737638126213592,7.198855145631069,7.208660592233009,6.233534941747573,6.19690695145631,7.55065872815534,6.095014281553398,5.671178844660194,6.459575951456311,1.0,1.0
6.7500321262135925,7.310577145631068,7.35557259223301,6.258506941747572,6.172822951456311,7.57119772815534,6.150428281553399,5.700596844660193,6.567363951456311,1.0,1.0
6.519284126213592,7.121893145631068,7.186286592233009,6.133174941747573,5.907442951456311,7.42267872815534,5.954506281553398,5.620450844660194,6.373704951456311,1.0,1.0
6.259949126213591,6.7564771456310675,6.7842255922330095,6.001168941747572,5.451238951456311,7.09671572815534,5.613718281553398,5.339516844660194,5.983276951456311,1.0,1.0
